model_full_name,year,brand,sub_model,value_type,engine,miles,price
2018 Kia Niro EX Premium,2018,Kia,Niro,great Value,4 Cyl 1.6 L,41599,25735
2019 Volkswagen Jetta S,2019,Volkswagen,Jetta,great Value,,11535,20797
2018 Toyota Highlander XLE,2018,Toyota,Highlander,great Value,,56011,34290
2016 Subaru WRX Premium,2016,Subaru,WRX,great Value,,82286,23995
2018 Jeep Wrangler Sahara,2018,Jeep,Wrangler,great Value,,18423,45380
2019 Ram 1500 Laramie,2019,Ram,1500,great Value,,25463,48978
2018 Ford Explorer Limited Edition,2018,Ford,Explorer,great Value,,33360,38460
2021 Volkswagen Jetta S,2021,Volkswagen,Jetta,great Value,,6198,21759
2018 Dodge Challenger R/T,2018,Dodge,Challenger,great Value,,28063,33985
2018 GMC Acadia SLT SLT-2,2018,GMC,Acadia,great Value,,73510,31187
2018 Volkswagen Tiguan SEL Premium,2018,Volkswagen,Tiguan,great Value,,40948,30687
2019 Kia Stinger GT2,2019,Kia,Stinger,great Value,,30243,41799
2020 Volkswagen Passat S,2020,Volkswagen,Passat,great Value,,22983,21591
2019 Chevrolet Silverado 1500 LTZ,2019,Chevrolet,Silverado,great Value,,15831,53588
2019 Honda Civic Si,2019,Honda,Civic,great Value,,24321,28995
2019 Subaru Impreza 2.0i,2019,Subaru,Impreza,great Value,,18015,20988
2019 Kia Niro LX,2019,Kia,Niro,great Value,,29004,25425
2019 Subaru Crosstrek Limited,2019,Subaru,Crosstrek,great Value,,35595,29999
2019 Honda Accord EXL,2019,Honda,Accord,great Value,,26738,27888
2018 Honda Civic EX,2018,Honda,Civic,great Value,,35249,22478
2019 Mini Cooper Countryman S,2019,Mini,Cooper,great Value,,42480,28898
2016 Land Rover Discovery Sport HSE,2016,Land,Rover,great Value,,84275,22988
2013 Ford Fusion SE,2013,Ford,Fusion,great Value,,96181,11995
2016 Ford Focus SE,2016,Ford,Focus,great Value,,60809,12991
2019 Toyota Highlander XLE,2019,Toyota,Highlander,great Value,,49309,37995
2019 Toyota Highlander XLE,2019,Toyota,Highlander,great Value,6 Cyl 3.5 L,49309,37995
2018 Subaru Impreza 2.0i Limited,2018,Subaru,Impreza,great Value,,32256,25444
2020 Volkswagen Passat R-Line,2020,Volkswagen,Passat,great Value,,4526,26888
2018 Volkswagen Golf SE,2018,Volkswagen,Golf,great Value,,72817,17811
2019 Mini Cooper S,2019,Mini,Cooper,great Value,,33117,27489
2018 Hyundai Sonata SE,2018,Hyundai,Sonata,great Value,,46385,17898
2019 Toyota RAV4 XLE,2019,Toyota,RAV4,great Value,,13065,33988
2019 Kia Soul Soul!,2019,Kia,Soul,great Value,,8648,23588
2018 Honda Accord EXL,2018,Honda,Accord,great Value,,13956,28488
2019 Audi A7 Prestige,2019,Audi,A7,great Value,,14115,67725
2018 Mercedes-Benz CLA 250,2018,Mercedes-Benz,CLA,great Value,,10828,30489
2018 Volkswagen Tiguan SE,2018,Volkswagen,Tiguan,great Value,,65507,25991
2016 Chevrolet Cruze LS,2016,Chevrolet,Cruze,great Value,,41943,14295
2015 Jeep Cherokee Latitude,2015,Jeep,Cherokee,great Value,,75446,17999
2019 Toyota Highlander XLE,2019,Toyota,Highlander,great Value,,34368,37000
2019 Subaru Impreza 2.0i,2019,Subaru,Impreza,great Value,,41708,21857
2019 Volkswagen Tiguan S,2019,Volkswagen,Tiguan,great Value,,27970,25477
2019 Kia Soul+,2019,Kia,Soul+,great Value,,39849,19491
2019 Kia Sportage EX,2019,Kia,Sportage,great Value,,21872,28999
2018 Toyota Camry SE,2018,Toyota,Camry,great Value,,35691,24688
2018 Ford Focus SE,2018,Ford,Focus,great Value,,152353,9990
2019 Volkswagen Jetta S,2019,Volkswagen,Jetta,great Value,,23851,19988
2013 Toyota Sienna LE,2013,Toyota,Sienna,great Value,,144888,13995
2016 Toyota Tacoma SR5,2016,Toyota,Tacoma,great Value,,101656,24996
2019 Lexus IS 300,2019,Lexus,IS,great Value,,20435,34995
2019 Toyota Tacoma SR5,2019,Toyota,Tacoma,great Value,6 Cyl 3.5 L,12306,42999
2017 Kia Forte EX,2017,Kia,Forte,good Value,,28144,19499
2019 Mercedes-Benz AMG GT 53,2019,Mercedes-Benz,AMG,great Value,,23598,97500
2017 Hyundai Elantra Sport,2017,Hyundai,Elantra,great Value,,34410,18880
2017 Hyundai Tucson Value Edition,2017,Hyundai,Tucson,great Value,,30015,23488
2018 Hyundai Elantra Sport,2018,Hyundai,Elantra,great Value,,22155,20895
2019 Toyota Highlander XLE,2019,Toyota,Highlander,great Value,,15154,39988
2013 Toyota Corolla LE,2013,Toyota,Corolla,great Value,,83923,11499
2018 Mercedes-Benz E-Class E 400,2018,Mercedes-Benz,E-Class,great Value,,20580,49491
2018 Ford Escape S,2018,Ford,Escape,great Value,,40373,18791
